d,phi,u
-0.09602687117938513,0.14814737414270562,-1.5977042759463451
-0.09531478932933113,0.1587538178420628,-1.5375512389490193
-0.09454933307019697,0.1713555525100335,-1.4668880030178242
-0.09372226736255662,0.185598818123268,-1.3874010178752483
-0.09282688253807936,0.20120055118214075,-1.3004385043361117
-0.09185781424817763,0.21788545552977368,-1.2073232996989298
-0.0908109954997206,0.23539000727607412,2.19678502073602
-0.08968358997835069,0.2534650091984915,2.298434085561807
-0.08847391280330852,0.2718770196351296,2.4025909094954185
-0.0871813437118224,0.2904089211765717,2.5081761081174903
-0.08580623558159639,0.30886036327359717,2.614184399904878
-0.0843642994051731,0.32050205038981805,2.686812197250215
-0.08288435640340308,0.3260406880225546,2.7293048154315978
-0.0813920888208779,0.32608378898823076,2.7444429960852306
-0.07991060805935524,0.32115503625911235,2.734614040054865
-0.07846091871725969,0.31170745070049427,2.7018730056827303
-0.07706214568852021,0.29819974268604693,2.6483221958978884
-0.07573157030908806,0.2810891278782849,0.2440302152567198
-0.07448465851085873,0.2608260207456312,0.1551837975757447
-0.07333507932837968,0.23785021461047678,0.051800558724763024
-0.07229471541170185,0.2125882288534869,-0.06410573089340804
-0.07137367052592147,0.18545091628125537,-0.19058184489676194
-0.07056967662395874,0.16144874018390437,-0.30255278636388966
-0.06986937655914394,0.14033959537440155,-0.40109550976325575
-0.06926018204036843,0.12194243978917038,-0.48698934250165654
-0.06873008358506805,0.10612516553857203,-0.5607747292016445
-0.06826749307754487,0.0927942070258416,-0.6228036166900648
-0.06786122411675943,0.08183975429852502,-0.6735131907187933
-0.06750058059686403,0.07314005129729677,0.1972113744201952
-0.06717542162142698,0.06656453171306584,0.16758536625341114
-0.06687620893123913,0.061976063749667507,0.1476351533382979
-0.06659404176536421,0.059232522365375975,0.13673911807558947
-0.06632068189411378,0.05818832065252348,0.13425170822383137
-0.06605276274024519,0.056892873744668664,0.13045366522324314
-0.06579123897330608,0.05543833953117893,0.12579623182518557
-0.06553670991367833,0.05388543042377492,0.12057697688444308
-0.06528955310000661,0.05226883686946544,0.11496557724961276
-0.065050034239311,0.0506019751182256,0.10902645710036979
-0.06481835478508158,0.04889906759759864,0.10282871403952915
-0.06459465049081425,0.04717414197640857,0.6398502931028148
-0.06437899360299149,0.04544046795597818,0.6333384918788906
-0.06417139691329099,0.04371032237781895,0.6267637308850994
-0.0639718183493534,0.041994994047175306,0.6201828748712571
-0.06378016556963706,0.04030477866018813,0.6136483257334846
-0.0635988049399474,0.03757304261076171,0.601803251783249
-0.0634322330624304,0.03395154847461605,0.5853614998776908
-0.06328428811432818,0.02957194847567222,0.5649429493639938
-0.06315823724047775,0.024548353275936883,0.5410854821038213
-0.0630568525959343,0.018979567096367594,0.5142553976514095
-0.06298245265181002,0.012961734927758047,0.4849102362496046
-0.0629586900803152,-0.003274329539909732,0.21071278558723927
-0.06301893732170581,-0.022008370033607217,0.11644011070484561
